,ROC-AUC,PR-AUC,F1,Precision,Recall,MCC,Brier
Logistic Regression,0.978111587580111,0.7110954463425059,0.8042328042328042,0.8085106382978723,0.8,0.8039142800692978,0.026132297804900746
Random Forest,0.9739153240562629,0.8412486100087504,0.8461538461538461,0.8850574712643678,0.8105263157894737,0.8467257909608575,0.0006508016403221289
XGBoost (F1-opt),0.9747120698876806,0.8599013956552471,0.8700564971751412,0.9390243902439024,0.8105263157894737,0.872215714782511,0.00042831720202229917
XGBoost (cost-opt),0.9747120698876806,0.8599013956552471,0.8571428571428571,0.8617021276595744,0.8526315789473684,0.8569142165012928,0.00042831720202229917
LightGBM (fixed),0.9869030036313818,0.09564664848448791,0.17663817663817663,0.09707724425887265,0.9789473684210527,0.3057801969308268,0.015377760451280727
