Model,ROC-AUC,PR-AUC,F1,Precision,Recall,MCC,Threshold,Train time (s)
Logistic Regression,0.978111587580111,0.7110954463425059,0.8042328042328042,0.8085106382978723,0.8,0.8039142800692978,1.0,11.0
Random Forest,0.9739153240562629,0.8412486100087504,0.8461538461538461,0.8850574712643678,0.8105263157894737,0.8467257909608575,0.7046,131.0
XGBoost,0.9747120698876806,0.8599013956552471,0.8700564971751412,0.9390243902439024,0.8105263157894737,0.872215714782511,0.8938999772071838,19.0
LightGBM,0.8745652194311773,0.03342543110173516,0.08047852093529093,0.04243119266055046,0.7789473684210526,0.17748056827133737,1.0,7.4
