model,pr_auc,cv_pr_auc,roc_auc,f1,mcc,precision,recall,fp,fn,promoted,reason
xgboost,0.8625,0.85553712037359,0.9821,0.8511,0.8509,0.8602,0.8421,13,15,True,PR-AUC improved by +0.0026 (gate=0.002)
random_forest,0.8497,0.836900014091458,0.9543,0.8,0.8006,0.7619,0.8421,25,15,True,PR-AUC delta -0.0102 below gate (0.002) — champion retained
